relation	concept	argument	metadata
location	chair	door	 at the :90.0, against the :336.0, next to the :244.0, under the :152.0, near the :869.0, by the :1324.0, towards the :219.0, beside the :166.0, behind the :59.0, in the :43.0, outside the :183.0	11
location	table	door	 against the :42.0, at the :209.0, next to the :491.0, near the :2700.0, by the :2474.0, inside the :50.0, beside the :202.0, outside the :79.0	8
location	bench	door	 at the :236.0, next to the :64.0, near the :265.0, by the :465.0, beside the :111.0, outside the :341.0	6
location	box	door	 at the :548.0, next to the :231.0, near the :249.0, by the :677.0, on the :278.0, outside the :195.0	6
location	hook	door	 next to the :126.0, near the :183.0, by the :858.0, on the :506.0, beside the :55.0, behind the :320.0	6
location	car	train	 at the :124.0, on an :54.0, on a :173.0, on the :438.0, in the :57.0	5
location	filament	bulb	 in an :52.0, inside the :40.0, within the :72.0, in a :305.0, in the :217.0	5
location	mouse	box	 on the :413.0, inside the :372.0, in a :94.0, in the :661.0, over the :1068.0	5
location	plaque	door	 next to the :82.0, above the :544.0, by the :138.0, on the :339.0, over the :40.0	5
location	table	couch	 next to the :638.0, by the :111.0, next to a :45.0, beside the :122.0, behind the :137.0	5
location	beaker	bath	 in an :103.0, on a :44.0, in a :42.0, in the :86.0	4
location	car	door	 at the :315.0, by the :96.0, through the :280.0, outside the :41.0	4
location	contact	person	 between an :41.0, between a :57.0, on the :40.0, between the :225.0	4
location	dog	box	 on the :111.0, in a :47.0, in the :118.0, outside the :487.0	4
location	flag	car	 down the :682.0, down a :386.0, on the :55.0, behind the :42.0	4
location	gas tank	car	 on a :41.0, on the :65.0, in a :52.0, in the :121.0	4
location	hamster	wheel	 on an :65.0, on a :43.0, on the :252.0, in the :87.0	4
location	ipod	car	 through the :399.0, over a :182.0, in a :385.0, in the :5889.0	4
location	lock	door	 at the :56.0, on a :479.0, on the :14311.0, in the :331.0	4
location	mouse	frame	 on the :125.0, inside the :44.0, in the :186.0, over the :159.0	4
location	nail	door	 by the :122.0, on the :42.0, behind the :77.0, in the :109.0	4
location	person	car	 by the :150.0, inside the :124.0, in a :111.0, in the :3774.0	4
location	person	chair	 on the :63.0, behind the :113.0, in a :625.0, in the :1202.0	4
location	person	door	 at the :5907.0, on the :157.0, behind the :145.0, outside the :58.0	4
location	table	box	 on the :91.0, below the :41.0, in a :248.0, in the :106.0	4
location	top	box	 at the :157.0, on the :119.0, in a :51.0, in the :92.0	4
location	wheel	car	 on a :97.0, on the :2241.0, in a :40.0, in the :57.0	4
location	baby	car	 on the :285.0, in a :439.0, in the :1888.0	3
location	bus	door	 at the :244.0, by the :68.0, through the :266.0	3
location	chain	door	 near the :112.0, on the :1025.0, up the :42.0	3
location	chair	couch	 next to the :368.0, opposite the :107.0, beside the :47.0	3
location	cross	flag	 on a :57.0, on the :109.0, in the :41.0	3
location	cross	box	 inside the :101.0, through the :70.0, in the :2121.0	3
location	dog	door	 at the :1052.0, next to the :50.0, toward the :57.0	3
location	dog	car	 around the :59.0, in a :516.0, in the :2148.0	3
location	horse	door	 at the :218.0, outside the :254.0, over the :91.0	3
location	lamp	door	 above the :82.0, beside the :3697.0, through the :52.0	3
location	office building	white	 at the :53.0, near the :129.0, in the :46.0	3
location	person	box	 at the :2884.0, behind the :72.0, in the :333.0	3
location	person	wheel	 at the :278.0, behind the :1600.0, in the :58.0	3
location	pet	car	 inside the :77.0, in a :799.0, in the :779.0	3
location	plug	printer	 in an :128.0, in a :54.0, in the :216.0	3
location	plug	microphone	 in an :184.0, in a :142.0, in the :612.0	3
location	plug	mouse	 in an :94.0, in a :308.0, in the :148.0	3
location	seal	door	 around the :99.0, on the :349.0, between the :51.0	3
location	seal	box	 on the :710.0, between the :64.0, up the :57.0	3
location	table	chair	 next to the :345.0, beside the :81.0, in a :92.0	3
location	table	sofa	 next to the :280.0, by the :123.0, beside the :73.0	3
location	table	lamp	 under the :56.0, by the :47.0, beside the :96.0	3
location	toy	box	 inside the :45.0, in a :42.0, in the :182.0	3
location	air conditioner	car	 in a :45.0, in the :180.0	2
location	air conditioning	car	 in a :100.0, in the :374.0	2
location	air conditioning	bus	 on the :90.0, in the :42.0	2
location	baby	cart	 in a :70.0, in the :41.0	2
location	baby	sofa	 on a :138.0, on the :134.0	2
location	baby	chair	 in a :425.0, in the :128.0	2
location	baby	box	 in a :182.0, in the :85.0	2
location	baby	cot	 in a :71.0, in the :81.0	2
location	baby	train	 on the :51.0, in a :82.0	2
location	baby	bassinet	 in a :64.0, in the :68.0	2
location	baby	crib	 in a :247.0, in the :1178.0	2
location	baby	bath	 in a :42.0, in the :405.0	2
location	baby	white	 on the :46.0, in the :151.0	2
location	bath	bathroom	 in a :960.0, in the :790.0	2
location	beaker	stirrer	 on a :164.0, on the :134.0	2
location	bear	box	 in a :133.0, in the :183.0	2
location	bird	box	 in a :128.0, in the :80.0	2
location	bottle	bath	 in a :78.0, in the :120.0	2
location	bottle	bowl	 in a :117.0, in the :121.0	2
location	bottle	microwave	 in a :215.0, in the :118.0	2
location	bowl	bath	 in an :56.0, over an :48.0	2
location	box	cart	 on the :588.0, in the :792.0	2
location	box	envelope	 in an :41.0, on the :128.0	2
location	brake	wheel	 at the :40.0, on the :444.0	2
location	bulb	lamp	 in a :50.0, in the :98.0	2
location	butterfly	wheel	 on a :60.0, on the :212.0	2
location	car	person	 by an :46.0, in the :115.0	2
location	car	windshield	 on the :46.0, through the :88.0	2
location	car	bus	 next to a :42.0, behind the :61.0	2
location	cd player	car	 in a :159.0, in the :1203.0	2
location	chain	bicycle	 on a :49.0, on the :41.0	2
location	chair	sofa	 next to the :135.0, near the :51.0	2
location	chips	bowl	 in a :395.0, in the :56.0	2
location	cross	seal	 on a :233.0, on the :286.0	2
location	cross	white	 around the :46.0, between the :55.0	2
location	diaper	baby	 under the :46.0, on the :181.0	2
location	dog	cross	 on the :129.0, in the :74.0	2
location	dog	horse	 on a :42.0, in the :43.0	2
location	dog	person	 by a :75.0, in the :80.0	2
location	dog	bathroom	 in the :54.0, toward the :57.0	2
location	door	bus	 on a :84.0, on the :118.0	2
location	door	motel	 at the :66.0, in a :58.0	2
location	door	envelope	 in an :67.0, in a :117.0	2
location	door	bathroom	 on the :203.0, in the :156.0	2
location	elephant	refrigerator	 in a :59.0, in the :40.0	2
location	envelope	box	 in a :272.0, in the :734.0	2
location	envelope	seal	 across the :139.0, over the :51.0	2
location	envelope	door	 under the :160.0, on the :131.0	2
location	flag	pin	 on an :242.0, on a :461.0	2
location	flag	bus	 down the :71.0, down a :133.0	2
location	flag	white	 at the :56.0, over the :45.0	2
location	flash	shoe	 on the :57.0, in the :60.0	2
location	fox	box	 on the :435.0, in the :442.0	2
location	frame	door	 around the :78.0, by the :40.0	2
location	frog	box	 on a :40.0, in the :118.0	2
location	goldfish	bowl	 in a :433.0, in the :62.0	2
location	hammer	nail	 on the :221.0, in the :50.0	2
location	hook	camcorder	 up a :178.0, up the :118.0	2
location	hook	laptop	 up the :135.0, up a :500.0	2
location	hook	microphone	 up an :516.0, up a :170.0	2
location	hook	mouse	 up an :150.0, up a :78.0	2
location	hook	ipod	 up an :88.0, up the :200.0	2
location	hook	generator	 up the :51.0, up a :245.0	2
location	hook	scanner	 up the :87.0, up a :125.0	2
location	hook	car	 up the :83.0, up a :242.0	2
location	hook	printer	 up the :100.0, up a :366.0	2
location	horse	bow	 on an :150.0, on a :73.0	2
location	ipod	apple	 at the :73.0, through the :40.0	2
location	kitten	box	 in a :41.0, in the :154.0	2
location	laptop	airplane	 on an :265.0, in the :313.0	2
location	laptop	backpack	 inside the :76.0, in a :96.0	2
location	laptop	car	 in a :113.0, in the :1014.0	2
location	lion	door	 at the :80.0, through the :70.0	2
location	lipstick	pig	 on a :422.0, on the :809.0	2
location	monument	courthouse	 in an :47.0, in the :64.0	2
location	pack	car	 in the :66.0, up the :243.0	2
location	person	cross	 at the :52.0, on the :56.0	2
location	person	bus	 on a :231.0, on the :749.0	2
location	person	white	 at the :72.0, in the :551.0	2
location	plug	car	 on the :58.0, in the :443.0	2
location	plug	laptop	 in a :213.0, in the :187.0	2
location	plunger	syringe	 on the :278.0, in the :77.0	2
location	puck	wing	 along the :182.0, on the :42.0	2
location	purse	chair	 on a :57.0, on the :47.0	2
location	purse	cart	 in a :170.0, in the :92.0	2
location	repository	box	 on a :63.0, in a :57.0	2
location	safe	wheel	 at the :52.0, behind the :164.0	2
location	screw	bulb	 in a :30021.0, in the :882.0	2
location	seal	envelope	 in an :117.0, on the :277.0	2
location	seal	bottle	 on a :100.0, on the :279.0	2
location	seatbelt	car	 in a :57.0, in the :320.0	2
location	seat belt	car	 in a :991.0, in the :314.0	2
location	table	piano	 next to the :61.0, near the :64.0	2
location	table	bowl	 next to a :43.0, in a :54.0	2
location	top	bottle	 on the :325.0, up the :390.0	2
location	toy	baby	 on the :76.0, at a :54.0	2
location	toy	car	 in a :40.0, in the :65.0	2
location	toy	bathroom	 in a :54.0, in the :1389.0	2
location	vacuum	tank	 inside the :44.0, in the :190.0	2
location	wheel	mouse	 on a :209.0, on the :314.0	2
location	wheel	ipod	 on an :67.0, on the :42.0	2
location	windshield	car	 by a :52.0, in a :70.0	2
location	airplane	treadmill	 on a :99.0	1
location	ant	door	 at the :46.0	1
location	apple	person	 at a :52.0	1
location	apple	bowl	 in a :190.0	1
location	apple	top	 at the :62.0	1
location	apple	car	 in the :46.0	1
location	ashtray	motorcycle	 on a :135.0	1
location	baby	bottle	 in a :81.0	1
location	baby	bathroom	 in the :245.0	1
location	baby	pitcher	 on the :73.0	1
location	baby	diaper	 on the :45.0	1
location	baby	backpack	 in a :80.0	1
location	baby	couch	 on the :96.0	1
location	baby	bus	 on the :1823.0	1
location	baby	dumpster	 in a :81.0	1
location	baby	top	 on the :50.0	1
location	baby	microwave	 in the :92.0	1
location	backpack	ski	 on the :55.0	1
location	bagel	toaster	 in the :97.0	1
location	baseball	box	 beyond the :382.0	1
location	bath	bowl	 in a :46.0	1
location	bath	box	 in a :69.0	1
