relation	concept	shortname-activity	longname-activity
usedfor	accelerometer	mensurate force	measure force
usedfor	adobe	build latrine	build a blair latrine
usedfor	aerator	care for platy	breed and care for platies
usedfor	aerator	grow grass	grow grass in full shade
usedfor	aerator	kill mushroom	kill mushrooms
usedfor	aerator	rid of moss	get rid of moss in your lawn
usedfor	aerator	topdress lawn	topdress a lawn
usedfor	air conditioner	air out condition	air condition your dog%27s house
usedfor	air conditioner	air out condition	keep a dog house cool in summer
usedfor	air conditioner	call for service	check your air conditioner before calling for service
usedfor	air conditioner	call for service	check your air conditioner before calling for service.
usedfor	air conditioner	safeguard home	safeguard your home against allergens
usedfor	air conditioning	reduce edema	reduce edema during pregnancy
usedfor	airplane	perform walk	perform a walk around on a cessna 150
usedfor	airplane	plan trip	plan a cross country airplane trip
usedfor	apple	make champagne	make saudi champagne
usedfor	apple	make pipe	make an apple pipe
usedfor	apple	make smoothie	make a banana apple yogurt smoothie
usedfor	apple	make treat	make no bake hamster treats
usedfor	apple	ripen mango	ripen mangoes
usedfor	apple	turn brown	keep an apple from turning brown after being cut up
usedfor	apron	add touch	add a simple touch of lolita to your everyday outfit
usedfor	apron	bake muffin	bake peach muffins
usedfor	apron	bungle cattle	butcher cattle
usedfor	apron	fix ink cartridge	fix an old or clogged ink cartridge the cheap way
usedfor	apron	grate coconut	grate coconut
usedfor	apron	make bread and butter	make bread and butter pickles
usedfor	apron	make caramel	make caramel
usedfor	apron	make costume	make nursery rhyme costumes
usedfor	apron	make cream	make cream of asparagus soup
usedfor	apron	make pancake	make danish pancakes
usedfor	apron	mud stall	muck out a stall
usedfor	apron	refinish furniture	refinish furniture
usedfor	apron	shampoo kitten	shampoo a kitten for fleas
usedfor	apron	turn bedroom	turn your bedroom into a restaurant
usedfor	ashtray	light up cigar	light a cigar
usedfor	ashtray	light up cigar	properly light a cigar
usedfor	ashtray	light up pipe	light a pipe
usedfor	ashtray	smoke cigarette	smoke a cigarette
usedfor	axe	build raft	build a log raft
usedfor	axe	chop wood	chop wood
usedfor	axe	make string	make string from natural sources
usedfor	baby	check diaper	check a diaper
